id,name,website,lat,long,primary_poc,sales_rep_id
1001,Walmart,www.walmart.com,40.23849561,-75.10329704,Tamara Tuma,321500
1011,Exxon Mobil,www.exxonmobil.com,41.16915630,-73.84937379,Sung Shields,321510
1021,Apple,www.apple.com,42.29049481,-76.08400942,Jodee Lupo,321520
1031,Berkshire Hathaway,www.berkshirehathaway.com,40.94902131,-75.76389759,Serafina Banda,321530
1041,McKesson,www.mckesson.com,42.21709326,-75.28499823,Angeles Crusoe,321540
1051,UnitedHealth Group,www.unitedhealthgroup.com,40.08792542,-75.57569396,Savanna Gayman,321550
1061,CVS Health,www.cvshealth.com,41.46779585,-73.76763638,Anabel Haskell,321560
1071,General Motors,www.gm.com,40.80551762,-76.71018140,Barrie Omeara,321570
1081,Ford Motor,www.ford.com,41.11394200,-75.85422452,Kym Hagerman,321580
1091,AT&T,www.att.com,42.49746270,-74.90271225,Jamel Mosqueda,321590
1101,General Electric,www.ge.com,41.16971210,-77.29713174,Parker Hoggan,321600
1111,AmerisourceBergen,www.amerisourcebergen.com,41.91146908,-74.47620770,Tuan Trainer,321610
1121,Verizon,www.verizon.com,41.34141060,-75.77193559,Chantell Drescher,321620
1131,Chevron,www.chevron.com,42.61194130,-76.36123105,Paige Bartos,321630
1141,Costco,www.costco.com,42.26304566,-74.80916921,Dominique Favela,321640
1151,Fannie Mae,www.fanniemae.com,41.40919044,-73.95770097,Terrilyn Kesler,321650
1161,Kroger,www.thekrogerco.com,42.57610194,-76.35945488,Nannie Brinkman,321660
1171,Amazon.com,www.amazon.com,42.03552936,-77.08453787,Buffy Azure,321670
1181,Walgreens Boots Alliance,www.walgreensbootsalliance.com,41.76033082,-75.76168171,Esta Engelhardt,321680
1191,HP,www.hp.com,41.01091302,-74.38047472,Khadijah Riemann,321690
1201,Cardinal Health,www.cardinal.com,41.31906537,-77.52512192,Deanne Hertlein,321700
1211,Express Scripts Holding,www.express-scripts.com,41.47633009,-76.07993254,Jewell Likes,321500
1221,J.P. Morgan Chase,www.jpmorganchase.com,40.39050914,-74.35128299,Florentino Madrigal,321510
1231,Boeing,www.boeing.com,40.23107071,-76.51519085,Melva Lyall,321520
1241,Microsoft,www.microsoft.com,41.80083073,-74.01331115,Dennise Hungate,321530
1251,Bank of America Corp.,www.bankofamerica.com,41.58226327,-74.03976515,Janise Voth,321540
1261,Wells Fargo,www.wellsfargo.com,42.29559131,-76.35302092,Lakenya Volker,321550
1271,Home Depot,www.homedepot.com,41.38089123,-75.49637851,Alexandria Zielke,321560
1281,Citigroup,www.citigroup.com,40.85305429,-76.49044823,Bea Sera,321570
1291,Phillips 66,www.phillips66.com,42.63789896,-76.16215145,Maria Garibay,321580
1301,IBM,www.ibm.com,40.74381454,-76.80764423,Denis Gros,321590
