id,account_id,occurred_at,channel
1,1001,2015-10-06T17:13:58.000Z,direct
2,1001,2015-11-05T03:08:26.000Z,direct
3,1001,2015-12-04T03:57:24.000Z,direct
4,1001,2016-01-02T00:55:03.000Z,direct
5,1001,2016-02-01T19:02:33.000Z,direct
6,1001,2016-03-02T15:15:22.000Z,direct
7,1001,2016-04-01T10:58:55.000Z,direct
8,1001,2016-05-01T15:26:44.000Z,direct
9,1001,2016-05-31T20:53:47.000Z,direct
10,1001,2016-06-30T12:09:45.000Z,direct
11,1001,2016-07-30T03:06:26.000Z,direct
12,1001,2016-08-28T06:42:42.000Z,direct
13,1001,2016-09-26T23:14:59.000Z,direct
14,1001,2016-10-26T20:21:09.000Z,direct
15,1001,2016-11-25T22:52:29.000Z,direct
16,1001,2016-12-24T05:35:14.000Z,direct
17,1011,2016-12-21T10:29:36.000Z,direct
18,1021,2015-10-12T02:10:54.000Z,direct
19,1021,2015-11-11T07:10:19.000Z,direct
20,1021,2015-12-11T16:28:27.000Z,direct
21,1021,2016-01-10T09:04:12.000Z,direct
22,1021,2016-02-09T00:46:47.000Z,direct
23,1021,2016-03-10T00:11:03.000Z,direct
24,1031,2016-12-25T03:51:33.000Z,direct
25,1041,2016-10-14T23:40:23.000Z,direct
26,1041,2016-11-13T09:43:28.000Z,direct
27,1041,2016-12-12T07:31:09.000Z,direct
28,1051,2016-08-02T19:48:31.000Z,direct
29,1051,2016-09-01T05:27:20.000Z,direct
30,1051,2016-10-01T00:17:52.000Z,direct
31,1051,2016-10-31T06:44:01.000Z,direct
32,1051,2016-11-30T07:18:22.000Z,direct
33,1051,2016-12-30T08:42:44.000Z,direct
34,1061,2016-10-19T15:42:16.000Z,direct
35,1061,2016-11-17T08:33:51.000Z,direct
36,1061,2016-12-16T21:18:17.000Z,direct
37,1071,2016-12-13T08:45:32.000Z,direct
38,1081,2015-02-12T22:34:21.000Z,direct
39,1081,2015-03-13T09:24:50.000Z,direct
40,1081,2015-04-12T04:19:43.000Z,direct
41,1081,2015-05-12T22:51:04.000Z,direct
42,1081,2015-06-11T13:41:31.000Z,direct
43,1081,2015-07-11T23:08:50.000Z,direct
44,1081,2015-08-09T18:23:43.000Z,direct
45,1081,2015-09-07T15:09:39.000Z,direct
46,1081,2015-10-07T06:12:38.000Z,direct
47,1081,2015-11-06T04:00:27.000Z,direct
48,1081,2015-12-05T21:37:52.000Z,direct
49,1081,2016-01-03T23:17:07.000Z,direct
50,1081,2016-02-01T19:35:04.000Z,direct
51,1081,2016-03-02T05:45:34.000Z,direct
52,1081,2016-04-01T08:17:57.000Z,direct
53,1081,2016-04-30T07:21:17.000Z,direct
54,1081,2016-05-30T04:01:01.000Z,direct
55,1081,2016-06-28T06:01:33.000Z,direct
56,1081,2016-07-28T22:20:49.000Z,direct
57,1081,2016-08-26T16:32:33.000Z,direct
58,1081,2016-09-24T09:33:56.000Z,direct
59,1081,2016-10-24T21:38:12.000Z,direct
60,1081,2016-11-23T04:22:51.000Z,direct
61,1081,2016-12-23T13:01:50.000Z,direct
62,1091,2014-08-15T05:21:56.000Z,direct
63,1091,2014-09-13T04:50:00.000Z,direct
64,1091,2014-10-13T12:10:21.000Z,direct
65,1091,2014-11-12T06:24:29.000Z,direct
66,1091,2014-12-11T10:20:16.000Z,direct
67,1091,2015-01-09T14:02:52.000Z,direct
68,1091,2015-02-08T09:32:27.000Z,direct
69,1091,2015-03-09T06:10:05.000Z,direct
70,1091,2015-04-07T13:16:25.000Z,direct
71,1091,2015-05-06T03:31:37.000Z,direct
72,1091,2015-06-05T18:54:09.000Z,direct
73,1091,2015-07-05T02:21:31.000Z,direct
74,1091,2015-08-03T11:32:26.000Z,direct
75,1091,2015-09-01T14:20:35.000Z,direct
76,1091,2015-10-01T15:25:43.000Z,direct
77,1091,2015-10-31T15:42:27.000Z,direct
78,1091,2015-11-29T21:06:26.000Z,direct
79,1091,2015-12-28T18:21:01.000Z,direct
80,1091,2016-01-26T06:20:09.000Z,direct
81,1091,2016-02-25T06:34:38.000Z,direct
82,1091,2016-03-25T22:13:55.000Z,direct
83,1091,2016-04-24T07:07:19.000Z,direct
84,1091,2016-05-23T07:18:02.000Z,direct
85,1091,2016-06-22T00:59:21.000Z,direct
86,1091,2016-07-21T18:39:18.000Z,direct
87,1091,2016-08-20T04:28:31.000Z,direct
88,1091,2016-09-18T20:49:42.000Z,direct
89,1091,2016-10-17T13:05:15.000Z,direct
90,1091,2016-11-15T18:04:09.000Z,direct
91,1091,2016-12-14T20:56:25.000Z,direct
92,1101,2015-06-24T12:50:27.000Z,direct
93,1101,2015-07-24T17:44:12.000Z,direct
94,1101,2015-08-22T19:17:13.000Z,direct
95,1101,2015-09-21T05:09:36.000Z,direct
96,1101,2015-10-21T16:16:43.000Z,direct
97,1101,2015-11-20T23:46:18.000Z,direct
98,1101,2015-12-19T18:29:44.000Z,direct
99,1101,2016-01-17T14:28:00.000Z,direct
100,1101,2016-02-15T07:42:32.000Z,direct
101,1101,2016-03-15T11:12:11.000Z,direct
102,1101,2016-04-13T23:47:47.000Z,direct
103,1101,2016-05-13T01:59:50.000Z,direct
104,1101,2016-06-12T12:25:51.000Z,direct
105,1111,2015-11-15T17:29:17.000Z,direct
106,1111,2015-12-15T21:57:08.000Z,direct
107,1121,2015-08-26T00:31:17.000Z,direct
108,1121,2015-09-25T13:51:50.000Z,direct
109,1121,2015-10-24T15:26:00.000Z,direct
110,1121,2015-11-22T17:24:28.000Z,direct
111,1121,2015-12-21T00:53:55.000Z,direct
112,1121,2016-01-20T15:14:22.000Z,direct
113,1121,2016-02-19T17:45:15.000Z,direct
114,1121,2016-03-19T07:15:57.000Z,direct
115,1121,2016-04-18T15:19:59.000Z,direct
116,1121,2016-05-17T13:08:34.000Z,direct
117,1121,2016-06-16T21:54:08.000Z,direct
118,1121,2016-07-15T03:22:59.000Z,direct
119,1121,2016-08-13T20:27:33.000Z,direct
120,1121,2016-09-11T22:54:21.000Z,direct
121,1121,2016-10-10T10:32:06.000Z,direct
122,1121,2016-11-08T02:28:45.000Z,direct
123,1121,2016-12-07T18:30:17.000Z,direct
124,1131,2016-05-13T06:37:09.000Z,direct
125,1131,2016-06-12T12:22:12.000Z,direct
126,1131,2016-07-11T23:51:17.000Z,direct
127,1131,2016-08-10T23:45:07.000Z,direct
